scenario,maximum_final_error_m,delta_error_m,minimum_soc_percent,delta_soc_pp,minimum_margin_db,delta_margin_db,link_availability_percent,delta_link_availability_pp,node_availability_percent,delta_node_availability_pp,federated_completion_percent,delta_federated_completion_pp,final_accuracy_percent,delta_accuracy_pp
NOMINAL,0.0572727112308566,0.0,25.0,0.0,40.143814365482726,0.0,100.0,0.0,100.0,0.0,71.42857142857143,0.0,96.66666666666667,0.0
LOW_POWER,0.0572727112308566,0.0,17.39327485380117,-7.606725146198828,40.143814365482726,0.0,100.0,0.0,100.0,0.0,71.42857142857143,0.0,96.66666666666667,0.0
ISL_DEGRADATION,0.0572727112308566,0.0,25.0,0.0,6.544269226103893,-33.59954513937883,100.0,0.0,100.0,0.0,71.42857142857143,0.0,96.66666666666667,0.0
ISL_BLACKOUT,0.0572727112308566,0.0,25.0,0.0,40.143814365482726,0.0,89.07103825136612,-10.928961748633881,100.0,0.0,57.14285714285714,-14.28571428571429,96.66666666666667,0.0
SATELLITE_FAILURE,0.8348277687968095,0.7775550575659529,25.0,0.0,40.143814365482726,0.0,66.12021857923497,-33.87978142076502,83.06010928961749,-16.93989071038251,14.285714285714285,-57.14285714285714,96.66666666666667,0.0
FORMATION_DISTURBANCE,0.6728338280897407,0.615561116858884,25.0,0.0,40.143814365482726,0.0,100.0,0.0,100.0,0.0,71.42857142857143,0.0,96.66666666666667,0.0
FEDERATED_EXCLUSION,0.0572727112308566,0.0,25.0,0.0,40.143814365482726,0.0,100.0,0.0,100.0,0.0,71.42857142857143,0.0,96.66666666666667,0.0
COMBINED_FAILURE,0.13953756388253225,0.08226485265167564,12.14327485380116,-12.856725146198839,6.307267741836128,-33.8365466236466,100.0,0.0,100.0,0.0,71.42857142857143,0.0,96.66666666666667,0.0
